"player_name","pitcher","game_year","N","unpredictability","indistinguishability","unexpectedness","deception"
"Kenley Jansen","445276",2018,848,86.8951642126594,57.6283817853946,37.8136273426904,65.8751810389208
"Tyler Rogers","643511",2019,183,32.1844776772792,91.3687116012502,72.1076978728951,65.8569921695105
"Edwin Diaz","621242",2019,819,87.8458923136117,79.0737869846486,30.1506204259009,65.8432480866249
"Garrett Richards","572070",2018,987,60.9661262061749,71.5859869865808,54.616512610671,65.7973890253394
"Brad Keller","641745",2020,643,65.6722151182444,89.6871114427179,44.5232037548438,65.481482876217
"Oliver Drake","543118",2020,126,72.2775415068525,75.5485164476325,43.3618365401024,65.3222784557601
"Addison Reed","592665",2018,651,78.6641358043733,83.1896400136714,35.6094384497845,65.2829573275829
"Drew Smyly","592767",2019,1615,71.7561924641097,71.3857016758896,44.8090288046836,65.1041782015106
"Pierce Johnson","572955",2020,230,71.6444455708206,82.6251742857263,41.2945153755889,65.0867985046614
"Chi Chi Gonzalez","592346",2019,867,76.3431782798468,86.808644732875,35.9974452741939,65.0212695605782
"Emilio Pagan","641941",2019,809,94.5518268850896,81.8201738870197,22.555728214035,64.9997001998492
"Jeff Samardzija","502188",2019,2261,84.9977895267603,85.9306764981949,28.9878289424717,64.908730723734
"Grant Dayton","594795",2020,374,80.9972092943374,90.2288384125204,30.7772515811653,64.8123052430792
"Scott Oberg","623184",2019,675,82.5096661486799,92.6077285270722,28.4692172917104,64.5978051062195
"Brad Hand","543272",2019,707,64.5644138820729,85.8987466142044,45.2888521498587,64.5254964410462
"Blake Taylor","642130",2020,256,75.6665978196569,79.8727293774856,38.0554979152409,64.5202577159439
"Sean Manaea","640455",2018,1693,87.3940571624878,61.3699643942764,34.0681672118374,64.3631733701774
"Phil Maton","664208",2020,283,52.180387141653,61.2685245943494,63.0356362073534,64.3101063137115
"Sam Selman","572125",2020,279,73.6112887086142,82.9758070978245,38.4609442045416,64.3092994495167
"Andrew Heaney","571760",2020,807,76.9371945965147,79.0914035170241,36.8206634227607,64.2117382170499
"Darwinzon Hernandez","650382",2019,535,81.2214370397301,73.6022348842154,34.9757821766636,64.1660470988376
"Ty Buttrey","621142",2019,904,93.1176437189864,62.7896523161913,28.2507395226158,63.9045806404922
"Jeff Samardzija","502188",2020,221,61.1560889335041,89.4000316794185,45.7785036934609,63.6767429816736
"Aaron Bummer","607481",2019,779,46.8089813184714,91.2232976388791,57.0167830071203,63.6765079548399
"Tyler Olson","621397",2019,372,55.3936367236216,60.9637457565258,59.5794562141757,63.6705005980722
"Jesse Hahn","534910",2020,227,73.0631646701045,70.4316564367423,41.9584020572405,63.6374101773501
